               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1019,            0.035251,                   0,           0.0023535,             0.37649,           0.0025929,          0.00078301,            0.082582,            0.020332,                   0,            0.070349,           0.0032946,           0.0032946
                   1,            0.085431,            0.034548,                   0,            0.011539,             0.17708,           0.0049173,           0.0015016,                 nan,                 nan,                   0,            0.040327,            0.006606,            0.006606
                   2,            0.079571,            0.033117,                   0,            0.017782,             0.02877,           0.0039886,           0.0011983,            0.074189,            0.017221,                   0,            0.010283,           0.0098955,           0.0098955
                   3,            0.078278,             0.03302,                   0,            0.034592,             0.41468,            0.033955,            0.010022,            0.067222,            0.018358,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.075875,            0.033819,                   0,           0.0039702,             0.63492,             0.02074,           0.0053539,            0.068565,            0.017544,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.073546,            0.034883,                   0,            0.030067,            0.012401,            0.012974,            0.003331,            0.066228,            0.018241,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.072408,              0.0362,                   0,            0.059685,             0.19643,            0.041637,            0.011833,            0.061947,            0.018561,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.06798,            0.036761,                   0,             0.16396,             0.13839,             0.07009,            0.020269,             0.06004,            0.018768,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.06393,            0.035474,                   0,             0.20076,             0.20883,            0.076581,             0.02374,            0.060087,            0.019074,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.061588,            0.034999,                   0,             0.19534,             0.15823,            0.084133,            0.025768,             0.06704,            0.018233,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.057964,            0.034159,                   0,             0.31267,             0.31647,             0.22148,            0.077635,            0.051986,            0.018453,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.054914,            0.033312,                   0,             0.27309,             0.33036,             0.20487,             0.07977,            0.049015,              0.0213,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.050627,            0.031733,                   0,             0.39928,             0.35119,             0.30648,             0.12423,            0.047487,            0.016831,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.047676,            0.030879,                   0,             0.52645,             0.49133,             0.45728,             0.19569,            0.049436,            0.015666,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.045434,            0.028802,                   0,             0.69428,             0.60218,             0.63897,             0.35722,            0.036838,            0.014844,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.04234,            0.027999,                   0,             0.67042,             0.60367,             0.63289,             0.36507,            0.036359,            0.014506,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.041529,            0.027407,                   0,             0.72668,             0.62906,             0.67632,             0.40581,            0.035666,            0.013914,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.040763,            0.026873,                   0,             0.67361,             0.67565,             0.67069,             0.41937,            0.034078,            0.013173,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.038681,            0.025399,                   0,             0.74408,             0.70092,             0.74705,             0.48886,            0.031359,            0.012883,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.037653,            0.025767,                   0,             0.70563,             0.70089,             0.71096,             0.44864,            0.031242,            0.012913,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.036128,            0.025062,                   0,             0.74946,             0.73065,              0.7591,             0.50972,            0.029462,            0.012544,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.035786,            0.025246,                   0,             0.75201,             0.73363,             0.77526,             0.51357,            0.029903,            0.012408,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.034684,            0.024482,                   0,             0.73485,             0.72768,             0.75493,             0.51115,            0.028156,            0.012406,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.034666,            0.024608,                   0,             0.72611,             0.70536,              0.7391,             0.47586,            0.030245,            0.013079,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.034743,            0.024368,                   0,             0.76422,             0.75405,             0.77508,             0.53761,            0.027259,            0.011882,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.033459,            0.023474,                   0,             0.72403,             0.72966,             0.75113,             0.51574,            0.028357,            0.012207,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.032923,            0.024147,                   0,             0.77202,             0.75149,             0.78776,             0.54724,            0.027495,            0.011558,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.03193,            0.022255,                   0,             0.75997,             0.77183,             0.79834,              0.5645,            0.027702,            0.011419,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.032379,            0.023303,                   0,              0.7659,              0.7303,             0.77815,             0.54301,            0.027524,            0.011949,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.031861,            0.023281,                   0,             0.81012,             0.76611,             0.80873,             0.57835,            0.026488,            0.011198,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.031743,             0.02282,                   0,             0.73604,             0.79266,              0.7937,             0.56242,            0.026541,            0.011582,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.031925,            0.022841,                   0,             0.77829,             0.78358,             0.81387,             0.58238,            0.025318,            0.011155,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.030553,            0.022577,                   0,             0.80341,             0.75347,             0.82007,             0.58546,            0.026325,            0.011174,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030294,            0.023032,                   0,             0.77163,              0.7748,             0.81933,             0.59087,            0.024593,            0.011175,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.030092,            0.021764,                   0,              0.7826,             0.78819,             0.83365,             0.60583,            0.024652,            0.010994,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.030214,            0.022197,                   0,             0.78659,             0.77331,             0.82402,             0.60379,            0.025319,            0.011239,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.029855,            0.022169,                   0,             0.78904,             0.79774,             0.81706,             0.59527,            0.023833,            0.010926,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.029747,             0.02205,                   0,              0.7982,             0.80247,              0.8407,             0.62739,            0.023914,            0.010689,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.028975,            0.021552,                   0,              0.8045,              0.7777,             0.84442,              0.6274,            0.023909,            0.010718,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.028511,            0.020948,                   0,             0.79307,             0.80109,             0.84655,             0.62782,            0.024273,            0.010832,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.028604,            0.021195,                   0,             0.78312,             0.77557,             0.82481,             0.60772,            0.024339,            0.011095,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.028357,             0.02148,                   0,             0.80027,             0.78504,             0.84365,             0.62977,            0.024049,            0.010715,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.028164,            0.021081,                   0,              0.7824,             0.79563,             0.84327,             0.62711,            0.023945,             0.01053,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.027424,            0.021143,                   0,             0.81588,             0.77679,             0.84128,             0.63002,            0.023392,            0.010851,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027775,            0.020703,                   0,             0.80825,             0.77778,             0.83062,              0.6113,            0.023819,            0.010904,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028125,            0.022067,                   0,             0.80032,             0.78131,             0.83745,             0.62469,            0.023315,            0.010705,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.027653,             0.02133,                   0,             0.78265,             0.80734,             0.83449,             0.61635,            0.023008,            0.010717,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.027978,            0.021588,                   0,             0.80769,             0.78819,             0.84321,             0.62733,            0.023431,            0.010597,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027836,            0.020351,                   0,             0.78932,             0.79354,             0.83585,             0.63166,            0.023583,            0.010829,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.027723,            0.020687,                   0,             0.79958,             0.78274,             0.82431,             0.61045,            0.024213,            0.011043,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.027285,            0.020882,                   0,             0.79214,             0.79771,             0.83636,             0.62272,            0.023213,            0.010861,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.02632,            0.020518,                   0,             0.80719,             0.80655,             0.86082,             0.64679,            0.023421,            0.010492,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.02662,            0.020673,                   0,             0.82967,             0.77183,             0.84477,             0.63808,            0.023489,            0.010675,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.026414,             0.02075,                   0,             0.81887,             0.78263,             0.84865,             0.64097,             0.02282,            0.010333,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026805,            0.020653,                   0,             0.81505,             0.79167,             0.83822,             0.62339,            0.022694,            0.010715,                   0,            0.008251,            0.008251,            0.008251
